# BEAST v10.5.0
# Generated Tue Aug 18 08:35:03 EEST 2026 [seed=1787031224452]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-6406433.957165883	-59.94683966225594	-6406374.010326221	24.064712426664904	2000.6101509613131	58.57903644064393	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	9.999999999999998E-4	-6406374.010326221	0.0	-57.50942174395211
1000	-6115416.554958485	-74.62219817761756	-6115341.932760308	21.933361321098822	2002.7415020668793	58.07554488641202	1.2982979005408963	4.060662939422754	0.23799232021739594	0.25410158536041966	0.26879984514803074	0.2391062492741536	0.43750517301067876	1.3010631006116942E-4	1.3010631006116937E-4	-6115341.932760308	0.0	-72.38547367719742
2000	-6003343.444634688	-168.96473071508757	-6003174.479903973	22.505136350439447	2002.1697270375387	122.02766002286253	7.518515019205576	26.342792593803978	0.221388165239634	0.27522656827615977	0.276435083376999	0.2269501831072072	0.13492237675605917	3.666261714535444E-5	3.666261714535444E-5	-6003174.479903973	0.0	-163.1110567848104
3000	-5937249.811590312	-217.40069962402055	-5937032.410890688	23.2459713100252	2001.428892077953	194.4382293342056	15.127737118661294	27.356084360276146	0.221388165239634	0.2894100752705509	0.2800656780932676	0.20913608139654752	0.06706381089408725	1.9260685839491907E-5	1.9260685839491897E-5	-5937032.410890688	0.0	-211.43911564716706
4000	-5906053.987538419	-236.70188070747642	-5905817.285657711	24.031873218692937	2000.6429901692852	235.30659880690175	18.49312447715612	27.803581855586724	0.20844099181886042	0.2988118902767178	0.28435429409023444	0.20839282381418742	0.06216170919132741	1.4921035325625168E-5	1.4921035325625171E-5	-5905817.285657711	0.0	-230.72904830015904
5000	-5856986.881169104	-269.4277767807993	-5856717.453392323	26.259922979736984	1998.4149404082411	323.490497166006	46.96251432815816	26.64852224291947	0.18290762006597103	0.30086195756923867	0.3121796561065682	0.2040507662582221	0.03484837156099704	9.755526445790792E-6	9.75552644579079E-6	-5856717.453392323	0.0	-263.02704439443835
6000	-5831432.208747921	-275.60636866116783	-5831156.60237926	25.747654876589223	1998.927208511389	344.4854291262068	37.13389540279502	26.329322611746388	0.1821665729035345	0.31038091330961504	0.3169902497806098	0.19046226400624067	0.04056431784633979	8.876825549495631E-6	8.876825549495633E-6	-5831156.60237926	0.0	-269.5469606847225
7000	-5806928.752952701	-295.8682100427576	-5806632.884742659	27.13738824023056	1997.5374751477475	417.7765257838789	54.21840848528759	25.865110451577014	0.159950041854059	0.3243973468379824	0.33650870889875706	0.17914390240920153	0.029742362025142518	7.028812174590769E-6	7.0288121745907655E-6	-5806632.884742659	0.0	-289.6920692781149
8000	-5792851.027571167	-304.22422179215596	-5792546.803349375	26.937703717014237	1997.7371596709638	444.05020141461335	60.22753275564746	26.125646465426314	0.15589108848504088	0.34158450462008133	0.33819632547653944	0.16432808141833832	0.033660056001967295	6.216100021469556E-6	6.216100021469553E-6	-5792546.803349375	0.0	-297.99683614820384
9000	-5790108.9486802835	-312.5176457694631	-5789796.431034514	27.29535876862479	1997.3795046193534	473.68064281316185	94.09460925878244	26.772655819588557	0.1617131200857548	0.34626097352678115	0.33964994277683114	0.15237596361063288	0.03592827069596161	5.782004641792837E-6	5.782004641792834E-6	-5789796.431034514	0.0	-305.81456210866475
10000	-5788133.044395197	-314.7711539422926	-5787818.2732412545	26.540233761959332	1998.1346296260188	485.83750109075953	84.459468403458	24.980570138170275	0.1617131200857548	0.3471417387506189	0.33829935493995456	0.1528457862236717	0.0339616909432176	5.740229437338523E-6	5.740229437338524E-6	-5787818.2732412545	0.0	-308.374976973618
11000	-5785764.671596086	-318.95151025319046	-5785445.720085832	27.601664343927435	1997.0731990440506	505.8499656410177	94.88032231824104	24.832496485221125	0.1617131200857548	0.3471417387506189	0.33829935493995456	0.1528457862236717	0.030422261748276877	5.41689944741794E-6	5.416899447417941E-6	-5785445.720085832	0.0	-312.4993560551585
12000	-5783401.544190315	-318.1517627213784	-5783083.3924275935	27.688926419114928	1996.9859369688631	506.5381137874839	86.41742845670792	24.34281261584505	0.1617131200857548	0.3471417387506189	0.3350534163272563	0.15609172483636996	0.05199138578654165	5.122868528610736E-6	5.122868528610737E-6	-5783083.3924275935	0.0	-311.8349830776088
13000	-5782932.895411267	-318.31023364231663	-5782614.585177625	28.203484766281136	1996.4713786216969	511.32495178366656	80.42870696296188	25.196777198625306	0.159447060069192	0.3504000950132668	0.3350534163272563	0.1550994285902849	0.05767569724988829	5.045254155331535E-6	5.045254155331536E-6	-5782614.585177625	0.0	-311.9889361173977
14000	-5782927.643156901	-318.2034194273475	-5782609.439737474	28.579941594949336	1996.0949217930288	514.6365053702273	86.10988165474618	23.133747034777528	0.159447060069192	0.3504000950132668	0.3350534163272563	0.1550994285902849	0.054346344470359395	5.018009835482346E-6	5.018009835482341E-6	-5782609.439737474	0.0	-312.0256726780296
15000	-5782915.382761853	-320.669197224563	-5782594.713564628	28.916313413679312	1995.7585499742988	526.5849646488272	99.12405755815715	23.90234078939475	0.159447060069192	0.3496503444254286	0.3350534163272563	0.1558491791781231	0.06289726285596454	4.847526212590064E-6	4.847526212590063E-6	-5782594.713564628	0.0	-314.27169868475704
16000	-5782914.994909027	-321.3093812737352	-5782593.685527753	28.950863083161376	1995.7240003048169	521.8682204036112	114.33135849372526	25.62234397009532	0.159447060069192	0.3496503444254286	0.3350534163272563	0.1558491791781231	0.0330356203860996	4.851164693283384E-6	4.851164693283385E-6	-5782593.685527753	0.0	-314.64124388920874
17000	-5782906.121378709	-319.5868958040668	-5782586.534482905	28.993111828229466	1995.6817515597486	523.7869303622475	83.0754812237072	23.19313408066504	0.159447060069192	0.3496503444254286	0.3350534163272563	0.1558491791781231	0.024070795158273105	4.877559065944846E-6	4.877559065944846E-6	-5782586.534482905	0.0	-313.5255277490924
18000	-5782900.191476613	-320.0928258431164	-5782580.09865077	28.962675830619485	1995.7121875573587	525.7255137976863	84.88858132233874	25.315864620480724	0.159447060069192	0.3496503444254286	0.3350534163272563	0.1558491791781231	0.03682386207549659	4.910356073658118E-6	4.910356073658118E-6	-5782580.09865077	0.0	-313.7708518319251
19000	-5782911.090191864	-320.1324111970062	-5782590.957780668	28.66236657698868	1996.0124968109894	522.8156729964815	95.4796754555862	23.025639848197333	0.159447060069192	0.3496503444254286	0.3350534163272563	0.1558491791781231	0.04652531709450238	4.979604342011236E-6	4.979604342011239E-6	-5782590.957780668	0.0	-313.88055162781023
20000	-5782906.530549504	-318.6664710669484	-5782587.864078437	28.37626400392506	1996.298599384053	516.8534156191929	86.01174134752189	23.833706722754275	0.159447060069192	0.3496503444254286	0.3350534163272563	0.1558491791781231	0.0561883415842876	4.851678280633936E-6	4.851678280633936E-6	-5782587.864078437	0.0	-312.43441323312305
21000	-5782900.380355973	-321.1439669142709	-5782579.236389059	28.948838928746945	1995.7260244592312	527.4737469020607	101.68484999253923	25.54818153207585	0.159447060069192	0.34987238258281494	0.33483137816986996	0.1558491791781231	0.03144958987990471	4.812028009195295E-6	4.8120280091952946E-6	-5782579.236389059	0.0	-314.6251968552277
22000	-5782902.191935558	-320.9562230315971	-5782581.235712526	28.90534699603006	1995.769516391948	527.7975959417683	96.10957883825543	25.268369956670416	0.159447060069192	0.34987238258281494	0.33483137816986996	0.1558491791781231	0.04449235522286889	4.83036952323885E-6	4.8303695232388515E-6	-5782581.235712526	0.0	-314.4984348863245
23000	-5782909.805470477	-321.58258529859353	-5782588.222885178	28.955907736327305	1995.7189556516507	530.6932531157332	85.78051597837755	25.03938573268724	0.159447060069192	0.34987238258281494	0.33483137816986996	0.1558491791781231	0.05686946985011714	4.892473738965725E-6	4.892473738965726E-6	-5782588.222885178	0.0	-315.2423232006289
24000	-5782907.092604857	-321.6337382981497	-5782585.458866559	28.89672392887355	1995.7781394591045	530.9545012608371	96.3526718198548	24.943849646305246	0.159447060069192	0.34987238258281494	0.33483137816986996	0.1558491791781231	0.05380263114939645	4.9060120109574296E-6	4.906012010957429E-6	-5782585.458866559	0.0	-315.1810371444315
25000	-5782901.467781092	-325.2746770688342	-5782576.193104023	29.23643542294674	1995.4384279650315	530.5445740162161	135.69962335491797	24.55577744251256	0.159447060069192	0.34987238258281494	0.33483137816986996	0.1558491791781231	0.042548533061938794	4.88704162213233E-6	4.887041622132327E-6	-5782576.193104023	0.0	-318.5024598712426
26000	-5782893.547736134	-321.49121941654477	-5782572.056516718	29.157183305887266	1995.517680082091	531.0699194799851	102.67380153935241	24.309761365049482	0.159447060069192	0.34987238258281494	0.33483137816986996	0.1558491791781231	0.03574790072220016	4.794810239101955E-6	4.79481023910195E-6	-5782572.056516718	0.0	-315.0785252577406
27000	-5782896.078939301	-322.64736590204836	-5782573.431573399	29.783993787435687	1994.8908696005424	535.2231035329974	75.3303201241251	24.284359317463935	0.159447060069192	0.34987238258281494	0.33483137816986996	0.1558491791781231	0.0302765091568438	4.794810239101955E-6	4.794810239101956E-6	-5782573.431573399	0.0	-316.5887087482865
28000	-5782893.558188137	-321.8253525197001	-5782571.732835617	29.36580427754307	1995.309059110435	533.5508512652159	98.54023922539645	24.653963423938507	0.159447060069192	0.34987238258281494	0.3349485665786201	0.15573199076937297	0.02807514926273316	4.814188530846761E-6	4.814188530846764E-6	-5782571.732835617	0.0	-315.4396428244053
29000	-5782902.4149991805	-321.27004986502925	-5782581.144949315	29.122910774263694	1995.5519526137143	528.0730736006226	106.50204725929835	24.653963423938507	0.159447060069192	0.34987238258281494	0.3349485665786201	0.15573199076937297	0.021685743362963205	4.76982194507133E-6	4.769821945071332E-6	-5782581.144949315	0.0	-314.81105485636544
30000	-5782888.7374144755	-321.8026353839414	-5782566.934779092	29.139517693519533	1995.5353456944586	528.6544566771989	110.56007992452733	24.77275761652059	0.159447060069192	0.34987238258281494	0.3349485665786201	0.15573199076937297	0.02105679822630407	4.861739720910747E-6	4.861739720910755E-6	-5782566.934779092	0.0	-315.2828403007735
