# BEAST v10.5.0
# Generated Tue Aug 18 21:36:14 EEST 2026 [seed=1787078157934]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	age(SAMN36729068_SRR25438644)	treeLikelihood	branchRates	coalescent
0	-5985504.733659299	-15.46855964235024	-5985489.265099657	10.460310674174119	2012.039689325826	20.30802029514104	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	0.0010000000000000002	-0.25	-5985489.265099657	0.0	-12.53973224208863
1000	-5785009.911689948	-16.058887805112825	-5784993.852802143	12.788329370145998	2009.711670629854	22.39085548888364	0.5490227419684708	5.145924846911676	0.23350154278466662	0.2739773879430229	0.2683541220633305	0.22416694720898006	0.18319453300429142	1.0212897196069862E-5	1.0212897196069862E-5	0.0	-5784993.852802143	0.0	-15.678822789719366
2000	-5741938.918807332	-37.10503583549523	-5741901.8137714965	27.493005920692436	1995.0069940793076	75.70120113801441	6.274912894357382	4.76695836826486	0.2242161287953165	0.2867520535337997	0.27373658981002474	0.21529522786085922	0.10803194765396458	2.285572476829E-6	2.285572476828999E-6	0.0	-5741901.8137714965	0.0	-35.89934428949146
3000	-5699330.6700774	-41.822483399009066	-5699288.847594001	38.50288540290594	1983.997114597094	106.69618426169559	9.994942004121931	6.051890736325049	0.21213694208998202	0.30204549318598506	0.2801664776671585	0.20565108705687452	0.07679839463419862	1.6015739001517602E-6	1.6015739001517602E-6	0.0	-5699288.847594001	0.0	-40.21721063655283
4000	-5676829.916361452	-45.498124477715216	-5676784.418236975	44.6775424440106	1977.8224575559893	131.39359997446974	12.490517036178215	5.805679236903181	0.20878939907339888	0.30825674140483555	0.28735709813251187	0.19559676138925378	0.06695376378339388	1.3365019674787077E-6	1.3365019674787077E-6	0.0	-5676784.418236975	0.0	-43.94420199036828
5000	-5635940.606990469	-47.00238567729332	-5635893.604604792	45.66150402596372	1976.8384959740363	137.17407544907752	19.184688801964782	5.621892743475275	0.19172570751713822	0.31730619599595494	0.308953252795074	0.1820148436918329	0.10644667737832747	1.2635361980378303E-6	1.26353619803783E-6	0.0	-5635893.604604792	0.0	-45.03112898319322
6000	-5614110.509693142	-50.823720356702154	-5614059.685972786	58.42999017059092	1964.0700098294092	182.1876235454668	25.0599972938573	5.787931970348688	0.17349300636844145	0.33225430986818216	0.31975994241118366	0.17449274135219275	0.10556172569150168	9.363775817708697E-7	9.363775817708698E-7	0.0	-5614059.685972786	0.0	-48.83027201932764
7000	-5605884.279986732	-53.909408643692046	-5605830.370578088	74.67380600529653	1947.8261939947035	230.19859456842624	18.265163517756633	6.261713308809749	0.16610145342197252	0.35759151025863495	0.3200556923135532	0.15625134400583943	0.19988522865925384	7.651345474123225E-7	7.651345474123224E-7	0.0	-5605830.370578088	0.0	-52.149283453653936
8000	-5603637.266748931	-55.24402973318125	-5603582.022719198	88.95737057547434	1933.5426294245256	276.0963452589291	27.026926925370255	5.685335743701597	0.16201355485353794	0.34955233576856526	0.33420520544559745	0.15422890393229946	0.1184737531599287	6.099139433681297E-7	6.099139433681299E-7	0.0	-5603582.022719198	0.0	-53.59594758329069
9000	-5603635.752288664	-53.34283796496659	-5603582.409450699	69.18906899100116	1953.3109310089988	221.1220442620459	22.836467041465298	5.81817304632989	0.16201355485353794	0.3492627625786641	0.333386316008062	0.15533736655973604	0.2505720849465107	7.572628320585478E-7	7.572628320585479E-7	0.0	-5603582.409450699	0.0	-51.34966929276689
