# BEAST v10.5.0
# Generated Thu Oct 16 09:06:37 EEST 2025 [seed=1760594778263]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	branchRatesHMC.rate	branchRatesHMC.scale	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-9514634.269830847	-272069.3479123736	-9242564.921918474	23.93322216807589	2000.7416412199022	59.72628044990218	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	1.0	1.0E-6	2.1269315631231987E-15	0.9910714285714288	-9242564.921918474	0.0	-59.968299737524845
20000	-8475339.024068445	-1065.366711506737	-8474273.657356938	90.40265396732313	1934.272209420655	1617.7367227194802	299.1635762131125	26.453118336801673	0.16073336151331866	0.3406644371892081	0.3380709665014426	0.1605312347960308	0.026519320625258705	4.797711186654706E-5	100.60966201145297	1.7299656928099988E-6	9.082655513006655	-0.014780478236300349	-8474273.657356938	0.0	-383.12137097329565
40000	-8461639.735857604	-744.914682008226	-8460894.821175596	107.3106183979248	1917.3642449900533	1668.3033036537443	380.5741843381974	25.021652398595744	0.16131966614259388	0.34009347286975006	0.3376021664035212	0.16098469458413492	0.014239733326536089	4.5706789556367876E-5	112.21046321233894	1.5206093520523879E-6	8.989733173368501	-0.013980032713009202	-8460894.821175596	0.0	-389.6557603979991
60000	-8461129.13483577	-700.0308195725172	-8460429.104016198	94.34556320302855	1930.3293001849495	1450.8344497274923	314.57366572749805	26.0832683291715	0.16131966614259388	0.34033096264410617	0.33757077557918125	0.16077859563411875	0.04214264474961546	4.455363849659272E-5	101.51645136531879	1.7120130161968863E-6	8.523563470633045	-0.01480504778151778	-8460429.104016198	0.0	-378.8677869656639
80000	-8460897.80834291	-600.058489500749	-8460297.749853408	80.7825508747791	1943.892312513199	1425.6186971974073	267.2316482057768	25.96178904856161	0.16119573482230393	0.34011480487545737	0.33742298084328975	0.1612664794589491	0.035725886293323045	4.415254809904484E-5	92.83163287106865	1.7551036143856491E-6	4.441340920736472	-0.022946273126990404	-8460297.749853408	0.0	-377.9082464478446
100000	-8460781.648279691	-503.2337752757306	-8460278.414504416	81.02919346758173	1943.6456699203964	1364.906630420071	237.9681806896275	25.44318836369861	0.16114025559676393	0.34011480487545737	0.33782754596407083	0.16091739356370802	0.017215116468728652	3.746871145834753E-5	81.40022524684208	1.8587864754156527E-6	0.6406094747377304	0.1956796523082877	-8460278.414504416	0.0	-374.338885147552
120000	-8460747.696097914	-484.0033766117434	-8460263.692721302	76.13979531148946	1948.5350680764886	1264.2722760759484	216.74051968457937	26.56600490063269	0.16131763466909949	0.340006585264565	0.3377583865026276	0.16091739356370802	0.023734182923058664	3.548165665804224E-5	69.3008501541307	1.968567033655241E-6	0.6518950127547023	0.23472972872497208	-8460263.692721302	0.0	-369.06434498798876
140000	-8460745.08990255	-476.69350802363346	-8460268.396394527	85.06087403356534	1939.6139893544128	1237.4859477452592	224.74658172187165	26.87511459812614	0.16137942369734962	0.34005452127453667	0.33752824284067456	0.16103781218743932	0.01892842597180067	3.680797462162746E-5	60.366619347418435	2.030188340887326E-6	0.6693769840831393	0.19914131511457575	-8460268.396394527	0.0	-365.55249850242944
160000	-8460742.578552842	-455.33982379902017	-8460287.238729043	87.05901247413873	1937.6158509138395	1167.7045288924874	194.48214195567306	24.74135223988719	0.16107935379727562	0.34043998284756366	0.3374428511677216	0.16103781218743932	0.02595109316447165	3.287916914632341E-5	52.086686184291956	2.1258069762334354E-6	0.6208147382363199	0.10945199666309624	-8460287.238729043	0.0	-359.4915114763656
180000	-8460744.973445864	-446.0143679691342	-8460298.959077895	67.06028443338072	1957.6145789545974	1040.9551988959768	189.51247466086443	25.664960596681546	0.16121220778031192	0.3402456120136156	0.3374428511677216	0.16109932903835114	0.031574453202642114	3.5968640436671515E-5	52.15947507586361	2.393328155797465E-6	0.6386929573664158	0.23687029967494216	-8460298.959077895	0.0	-353.00039851879694
