# BEAST v10.5.0
# Generated Sat Nov 08 09:18:28 EET 2025 [seed=1762586295819]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	branchRatesHMC.rate	branchRatesHMC.scale	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-9500292.033544682	-272066.5890534581	-9228225.444491224	21.44031585861476	2003.2345475293635	55.73993090612966	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	1.0	1.0000000000000006E-6	2.1269315631231987E-15	0.9910714285714288	-9228225.444491224	0.0	-57.17888949682384
10000	-8496198.672623914	-1047.663384235093	-8495151.00923968	30.845723859026762	1993.8291395289514	336.73520737623454	28.692333658568874	28.59469680784829	0.16100414653135905	0.34278802766003036	0.33640460935843575	0.1598032164501748	0.0302557879441381	1.3550729073727043E-4	37.32472030522758	9.572719250997112E-6	1.475383248437543	0.03027247810102023	-8495151.00923968	0.0	-260.3466429156843
20000	-8484036.915975755	-624.6927135416229	-8483412.223262213	29.27402876616545	1995.4008346218127	335.90734298614717	40.386921432452205	26.75971008669755	0.16160048285289755	0.34027642110837497	0.3374722427016908	0.1606508533370367	0.029851489510058858	1.2703729640198348E-4	54.494785958860504	8.736501763298829E-6	0.9474447651968658	0.15208203179452096	-8483412.223262213	0.0	-261.46161204649684
30000	-8480884.550375389	-514.45233637317	-8480370.098039016	28.50048797410601	1996.1743754138722	349.737223845001	30.33163803960903	28.352930299014353	0.16160048285289755	0.34009821225279224	0.3374832597574957	0.16081804513681452	0.010217959525854085	1.3282292726973148E-4	69.97411029634875	8.158385232587164E-6	0.9321796083482505	0.14536821173892667	-8480370.098039016	0.0	-267.2960938979673
40000	-8474372.039284874	-578.9552138456409	-8473793.084071029	33.401107677997906	1991.2737557099802	464.46892491217596	57.84811465163626	27.236755134250526	0.161418931595087	0.3404946611740487	0.3372683620940498	0.16081804513681452	0.035896082884244694	1.1732587945308426E-4	75.78653104836546	5.990057331787512E-6	0.9193696803104447	0.21296925411675127	-8473793.084071029	0.0	-292.5328202608869
50000	-8469804.43526459	-724.2369007970844	-8469080.198363792	32.975539770304856	1991.6993236176734	466.8582234127711	60.492468338429596	26.38689496669335	0.161418931595087	0.3406825076062919	0.3372683620940498	0.16063019870457135	0.03149048407554217	1.1799837973105108E-4	92.08692712444359	5.690737089675719E-6	6.226460866438105	0.07207668921812554	-8469080.198363792	0.0	-293.5145123718265
60000	-8468126.785838626	-595.9079198560221	-8467530.87791877	32.175299407131284	1992.499563980847	471.5061909283621	80.94268324412984	26.87130506926698	0.16158534654223922	0.3400469881091019	0.3371605393364854	0.1612071260121736	0.006362901973377448	1.1312143544716104E-4	94.81212140823126	5.632552121961057E-6	3.228709540015213	0.10554411719262087	-8467530.87791877	0.0	-296.09160916573154
70000	-8464312.778400496	-485.55697025788015	-8463827.221430238	32.58468390106708	1992.090179486911	489.87141876930104	59.58578794345469	25.828763308741365	0.16158534654223922	0.3400469881091019	0.3371605393364854	0.1612071260121736	0.019896433940179124	1.1069420097329482E-4	83.75678885353054	5.2241557061685E-6	1.1486719480394219	0.21036927857449703	-8463827.221430238	0.0	-299.62871943540415
80000	-8464264.531914873	-449.1942772524971	-8463815.33763762	32.89899090652321	1991.7758724814548	497.7860365486622	72.6848723231258	25.453241984677526	0.1616762448596337	0.3402196318322748	0.3371605393364854	0.16094358397160619	0.009796762306720259	1.0566953278179819E-4	76.16888330605516	5.18186349212136E-6	0.8081939374831574	0.071935418625575	-8463815.33763762	0.0	-300.7575839907175
90000	-8464269.743329026	-438.9746581663881	-8463830.768670859	33.20521611277805	1991.4696472752	499.39955269567236	58.71477622205861	25.75446368016995	0.161705070305139	0.34033226499754116	0.3371605393364854	0.16080212536083457	0.009829875568363563	9.894971774345623E-5	73.5148964468996	5.099078220022572E-6	0.7585762831324044	-0.04503624620589692	-8463830.768670859	0.0	-302.00444788542495
