# BEAST v10.5.0
# Generated Sat Nov 15 08:44:38 EET 2025 [seed=1763189061400]
# -window -working -options
# keywords: skygrid
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	branchRatesHMC.rate	branchRatesHMC.scale	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	skygrid
0	-9385798.238179024	-274126.7022592404	-9111671.535919784	176.7394504388988	1847.9354129490794	981.0356347752038	0.1	1.0	1.0	1.0	1.0	1.0	1.0	36.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	1.0	1.0E-6	2.1269315631231987E-15	0.9910714285714288	-9111671.535919784	0.0	-2120.1019380837743
5000	-8640563.258778205	-3467.4397002942633	-8637095.81907791	356.7051124314367	1667.9697509565415	2541.2041436359004	1.0391147621567496	6.417393144030264	7.663433024025452	7.325116832783552	6.3176000307579985	6.703687221050692	4.795374040831654	36.0	26.824710507309035	0.2083889224941624	0.3049463559341889	0.2965081410633796	0.19015658050826914	0.08525028434484648	6.198774921351794E-5	15.026927847871226	1.7842478508935166E-6	1.7945028202752225	-0.1117418156382542	-8637095.81907791	0.0	-410.8867681532332
10000	-8522547.93580932	-1724.2422620936647	-8520823.693547226	416.96898462426844	1607.7058787637097	3140.8206175202486	1.2712527578734414	7.6468456717883955	7.918126676586307	6.938049191343413	6.599844191386733	7.052079663805936	5.7362330216629145	36.0	27.67282690575877	0.16309912739499965	0.33840543444076626	0.3338991691551229	0.16459626900911112	0.02757989622081188	4.001546904024486E-5	54.53297296378326	1.1233922101730126E-6	3.1816042131998814	-0.07779925816444462	-8520823.693547226	0.0	-411.74994436417995
15000	-8495100.869298432	-1275.4752388725572	-8493825.39405956	473.13083622130364	1551.5440271666744	3626.1218804644145	1.6591808628865947	7.895184638944482	8.541387115655812	7.93833113541848	7.553351248559105	7.593888376800485	5.684039551056991	36.0	26.12622497545581	0.1599837328400873	0.34049580080511194	0.33863001191571923	0.1608904544390815	0.009303103325411285	3.593707820917134E-5	123.20003142815513	8.688300209877426E-7	2.4525674334283605	0.031381027582972856	-8493825.39405956	0.0	-425.5619673548023
20000	-8483179.053670434	-1087.2811104689401	-8482091.772559965	328.58383511688294	1696.0910282710952	2431.184306752851	2.405128561336994	8.417448096320232	7.386694135570522	6.699012931096798	6.764082737477972	6.157875016871927	5.046656326849509	36.0	27.76370897265052	0.16147916449499009	0.33896383925778817	0.33824446300724353	0.1613125332399782	0.03144058338591024	4.535367369919369E-5	151.9027292904809	1.2096547840122709E-6	1.6710154684458751	-0.025440158073039912	-8482091.772559965	0.0	-396.18249894949605
25000	-8474228.24541759	-976.9669262840616	-8473251.278491305	361.4401868559479	1663.2346765320303	2827.083261546471	2.2326820429181704	7.505732820465311	7.17614018867435	7.554544667893477	7.423099516518241	6.408381745384751	5.1686512457793645	36.0	25.905684027949395	0.161035180804875	0.33980015806263353	0.3379269765479832	0.16123768458450827	0.011063206470024463	3.4347772406671015E-5	161.02797189539265	9.735077141955391E-7	1.5340538044215994	-0.11386350369102546	-8473251.278491305	0.0	-408.0561874285651
30000	-8464964.25325205	-820.2104901861088	-8464144.042761864	261.24379818867817	1763.4310651993	1920.6504593764218	2.071091405579297	7.598368942975045	7.239367029476316	6.543163115362979	6.418219159788689	5.307138514955064	5.156159582844917	36.0	26.929001207371385	0.161035180804875	0.3401505161053819	0.33757661850523485	0.16123768458450827	0.020403849132652526	4.57326469676242E-5	152.0123937652828	1.3345523905608082E-6	1.06167978407545	-0.06210458567461777	-8464144.042761864	0.0	-381.6920203053453
35000	-8464356.319008317	-725.4987004579484	-8463630.820307858	227.92305006194408	1796.7518133260342	1709.8792059635518	1.1482864986888894	6.793576589446239	6.62256259543917	6.57969694555203	6.356700898593242	4.566593469990486	4.9887117904777405	36.0	24.701230890926965	0.161035180804875	0.3401505161053819	0.33757661850523485	0.16123768458450827	0.030658358370290434	4.657230432769014E-5	131.40930328576553	1.4982546604245945E-6	0.808599371351404	0.042064608223262336	-8463630.820307858	0.0	-372.4672015340149
40000	-8464275.058379924	-675.1940701036324	-8463599.86430982	225.21046496924288	1799.4643984187353	1709.3541027478834	6.917229945698781	6.120256307178563	6.31021482668584	6.0676246090369395	5.758671027027297	4.812575542621117	4.806691212196865	36.0	26.56950402406214	0.161035180804875	0.3401505161053819	0.33757661850523485	0.16123768458450827	0.03210643159975082	4.3596775786599275E-5	121.22007897081428	1.4871787149859474E-6	0.7731869981812054	0.15826415355496729	-8463599.86430982	0.0	-374.7199921388795
45000	-8461548.74532767	-660.7362644685968	-8460888.009063201	210.97985332213437	1813.6950100658437	1604.546231067884	3.005327326518774	5.626881428376366	6.142764991668101	6.699267699272502	5.627870323697851	4.707919845824896	4.361737910361587	36.0	26.247652558342885	0.161035180804875	0.3401269656616166	0.33757661850523485	0.16126123502827353	0.03945437753176618	4.300398311518845E-5	114.31135851256151	1.5579313759112655E-6	0.7211272286515	0.20237059626938503	-8460888.009063201	0.0	-374.5178351813453
