# BEAST v10.5.0
# Generated Wed Aug 19 09:03:02 EEST 2026 [seed=1787118699297]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	age(SAMEA7472536_ERR4920658)	age(SAMEA6797401_ERR4056630)	age(SAMEA6797389_ERR4056585)	age(SAMEA6647237_ERR4028006)	treeLikelihood	branchRates	coalescent
0	-1.2912429151605401E7	-75.79185264641886	-1.2912353359752756E7	27.73817984130988	1995.9166146792381	63.514296155029214	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	0.001	6.404794520547966	6.154794520547966	6.154794520547966	6.154794520547966	-1.2912353359752756E7	0.0	-73.38994353050111
1000	-1.0404347002040755E7	-199.75460131517576	-1.040414724743944E7	30.394819918130075	1993.259974602418	195.51366811101107	15.187627970961232	3.993378428659663	0.23301443676502764	0.25971483770643067	0.25747378183752523	0.24979694369101646	0.22573599579818968	9.669186831031449E-4	9.669186831031445E-4	5.7378939142198115	8.371403038985317	8.285986938272467	7.430095650582096	-1.040414724743944E7	0.0	-194.91404107473758
2000	-9968463.819274914	-210.51502905941396	-9968253.304245854	28.60870708100244	1995.0460874395455	209.0922776909256	23.441192277101933	4.093725144778731	0.22434043201029996	0.2674283565913105	0.25966470711732936	0.24856650428106022	0.04892652465969039	9.924002984489362E-4	9.924002984489366E-4	5.7378939142198115	8.509576615744248	8.285986938272467	7.202903596760698	-9968253.304245854	0.0	-205.55723953979827
3000	-9713171.435076566	-218.73782440214055	-9712952.697252164	28.717004997954625	1994.9377895225934	226.7502475003614	19.379770605582646	4.48802193619954	0.20854033634501826	0.27900185891335205	0.30339601803220545	0.20906178670942416	0.023739540445045112	8.611646683844378E-4	8.611646683844378E-4	5.696211169650359	8.509576615744248	8.285986938272467	4.998670531932611	-9712952.697252164	0.0	-214.02947613877484
4000	-9588784.00080438	-226.6977066230128	-9588557.303097757	29.264668837411733	1994.3901256831361	245.09727668389021	26.027985517569334	4.75744666603289	0.18395744877208028	0.3103034068619287	0.31774307642012223	0.18799606794586876	0.00983904851545844	7.722497578173038E-4	7.722497578173038E-4	5.696211169650359	8.576076014662451	4.210660550805593	4.142068091587598	-9588557.303097757	0.0	-221.73715331836982
5000	-9459361.749099126	-236.58127721326485	-9459125.167821912	29.738354116636163	1993.9164404039118	272.0349441442283	30.36156863873021	5.044297155520759	0.17244624082867188	0.33764961316314124	0.32141414590346806	0.16849000010471876	0.0031408828637955752	6.557183374548245E-4	6.55718337454825E-4	5.696211169650359	7.934957748375198	3.900988048529661	4.2395908531968525	-9459125.167821912	0.0	-231.54014279016505
6000	-9317744.76953011	-246.00346852455036	-9317498.766061585	30.508996309085106	1993.1457982114628	296.87321536532323	41.25990845799117	5.1295915907677925	0.1540342121534467	0.35039325424656553	0.33055928193257716	0.16501325166741054	0.006639342489536014	5.593908010650339E-4	5.593908010650342E-4	5.696211169650359	8.373984418904659	3.900988048529661	3.671043858363863	-9317498.766061585	0.0	-240.74997843332565
7000	-9247070.538931718	-251.96771423419395	-9246818.571217485	30.69798277061726	1992.9568117499307	317.06668123446923	41.43375026646248	5.140734840991226	0.15452760370516191	0.35164853042339733	0.33444453497184085	0.15937933089959982	0.00547110741434251	4.942572714377132E-4	4.94257271437713E-4	5.696211169650359	8.487233888939256	7.496895674920991	7.237659370691701	-9246818.571217485	0.0	-246.81328825864165
8000	-9135394.64839845	-264.9527663747776	-9135129.695632074	30.43429001287766	1993.2205045076703	354.6978982308766	47.57324942522408	5.155413642142387	0.15452760370516191	0.35164853042339733	0.33444453497184085	0.15937933089959982	0.00843953195570089	4.098606164893373E-4	4.0986061648933735E-4	7.0378324742766045	8.59474019106743	6.135442120957912	8.555796495751538	-9135129.695632074	0.0	-259.8052431716378
9000	-9120904.848940112	-272.6239766447897	-9120632.224963468	31.08916604834996	1992.5656284721981	386.6416605491074	56.827470462465556	5.155413642142387	0.15452760370516191	0.35259707523423894	0.33282364703452794	0.16005167402607112	0.022491313479641277	3.8706715389142315E-4	3.870671538914232E-4	5.872384926379905	8.59474019106743	6.75610598400572	8.555796495751538	-9120632.224963468	0.0	-267.32897000455773
